theta_deg,0,0.06,0.08,0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.75,1.00,1.5,2,3,4,5,6,8,10
0,0.951,0.951,0.934,0.917,0.874,0.831,0.787,0.744,0.714,0.692,0.619,0.610,0.614,0.625,0.650,0.689,0.711,0.733,0.768,0.798
2,0.947,0.947,0.930,0.914,0.871,0.829,0.786,0.744,0.714,0.693,0.639,0.634,0.640,0.651,0.675,0.704,0.725,0.744,0.775,0.801
4,0.944,0.944,0.927,0.910,0.869,0.827,0.785,0.744,0.714,0.694,0.659,0.658,0.667,0.677,0.699,0.720,0.738,0.755,0.782,0.804
6,1.059,1.059,1.033,1.008,0.944,0.881,0.817,0.754,0.721,0.707,0.684,0.685,0.693,0.703,0.722,0.741,0.757,0.772,0.796,0.816
8,0.999,0.999,0.980,0.961,0.914,0.866,0.819,0.772,0.744,0.730,0.710,0.712,0.719,0.729,0.746,0.763,0.777,0.790,0.812,0.830
10,1.007,1.007,0.989,0.971,0.927,0.882,0.837,0.793,0.766,0.755,0.739,0.739,0.746,0.754,0.770,0.785,0.797,0.809,0.829,0.844
12,1.007,1.007,0.991,0.975,0.936,0.897,0.858,0.819,0.791,0.780,0.765,0.766,0.772,0.779,0.792,0.805,0.816,0.826,0.844,0.857
14,1.158,1.158,1.129,1.100,1.027,0.954,0.881,0.830,0.811,0.804,0.790,0.790,0.795,0.801,0.813,0.825,0.835,0.844,0.859,0.871
16,1.269,1.269,1.230,1.192,1.094,0.997,0.900,0.851,0.832,0.825,0.812,0.812,0.816,0.822,0.832,0.842,0.850,0.858,0.871,0.881
18,1.378,1.378,1.330,1.281,1.159,1.037,0.915,0.867,0.850,0.844,0.831,0.832,0.835,0.840,0.849,0.857,0.865,0.871,0.882,0.892
20,1.784,1.784,1.678,1.572,1.306,1.041,0.933,0.885,0.868,0.861,0.849,0.849,0.852,0.856,0.864,0.871,0.878,0.883,0.893,0.901
22,1.784,1.784,1.679,1.575,1.313,1.050,0.942,0.893,0.881,0.875,0.864,0.864,0.867,0.871,0.877,0.884,0.890,0.894,0.903,0.910
26,1.704,1.704,1.610,1.516,1.281,1.046,0.953,0.920,0.906,0.900,0.891,0.890,0.892,0.895,0.900,0.905,0.909,0.913,0.920,0.925
30,1.089,1.089,1.119,1.149,1.225,1.049,0.961,0.932,0.923,0.919,0.911,0.911,0.913,0.915,0.919,0.922,0.926,0.929,0.934,0.938
32,1.157,1.157,1.167,1.178,1.203,1.039,0.966,0.939,0.931,0.927,0.921,0.920,0.921,0.923,0.927,0.930,0.933,0.935,0.940,0.944
36,1.181,1.181,1.176,1.170,1.156,1.023,0.971,0.949,0.944,0.941,0.935,0.935,0.936,0.937,0.940,0.943,0.945,0.947,0.950,0.953
40,0.954,0.954,1.053,1.152,1.109,1.016,0.974,0.961,0.955,0.953,0.948,0.948,0.949,0.950,0.952,0.954,0.956,0.958,0.960,0.962
50,1.037,1.037,1.071,1.104,1.047,0.999,0.981,0.976,0.974,0.973,0.971,0.970,0.971,0.972,0.973,0.974,0.974,0.975,0.977,0.978
60,1.008,1.008,1.041,1.062,1.013,0.998,0.993,0.987,0.986,0.985,0.984,0.985,0.985,0.986,0.986,0.987,0.987,0.988,0.988,0.989
70,1.078,1.078,1.023,1.026,1.001,0.997,0.996,0.995,0.994,0.994,0.993,0.994,0.994,0.994,0.995,0.995,0.995,0.995,0.995,0.995
80,1.020,1.020,1.005,1.007,1.000,1.002,1.003,0.998,0.998,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.999,1.000,1.000,1.000
90,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
100,1.012,1.012,1.002,1.008,0.996,0.995,0.999,0.999,0.999,0.999,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999
110,1.069,1.069,1.029,1.025,1.006,0.994,0.996,0.995,0.994,0.994,0.994,0.994,0.994,0.995,0.995,0.995,0.995,0.995,0.995,0.995
120,1.004,1.004,1.049,1.060,1.020,0.999,0.992,0.988,0.986,0.986,0.985,0.985,0.985,0.986,0.987,0.987,0.987,0.988,0.988,0.989
130,1.056,1.056,1.080,1.105,1.047,1.003,0.985,0.976,0.975,0.974,0.971,0.971,0.971,0.972,0.973,0.974,0.975,0.975,0.977,0.978
132,1.043,1.043,1.077,1.111,1.058,1.002,0.982,0.974,0.972,0.970,0.967,0.967,0.968,0.968,0.969,0.970,0.972,0.972,0.974,0.975
134,1.021,1.021,1.078,1.135,1.068,1.007,0.982,0.971,0.968,0.967,0.963,0.963,0.963,0.964,0.965,0.967,0.968,0.969,0.970,0.972
136,1.011,1.011,1.075,1.138,1.076,1.014,0.979,0.967,0.964,0.963,0.959,0.958,0.959,0.960,0.961,0.962,0.964,0.965,0.967,0.968
138,1.080,1.080,1.113,1.146,1.098,1.016,0.977,0.963,0.961,0.958,0.954,0.953,0.954,0.955,0.956,0.958,0.960,0.961,0.963,0.965
140,0.983,0.983,1.068,1.153,1.113,1.020,0.982,0.961,0.956,0.954,0.948,0.947,0.948,0.949,0.951,0.953,0.955,0.957,0.959,0.961
144,1.184,1.184,1.176,1.169,1.151,1.033,0.978,0.951,0.945,0.942,0.936,0.935,0.936,0.937,0.940,0.942,0.944,0.946,0.949,0.952
148,1.140,1.140,1.155,1.169,1.204,1.031,0.976,0.942,0.932,0.928,0.919,0.919,0.920,0.922,0.925,0.929,0.931,0.934,0.938,0.942
150,1.099,1.099,1.128,1.158,1.232,1.052,0.967,0.930,0.923,0.920,0.911,0.910,0.912,0.913,0.917,0.921,0.924,0.927,0.932,0.936
154,1.631,1.631,1.554,1.477,1.285,1.093,0.959,0.914,0.904,0.899,0.889,0.888,0.890,0.893,0.898,0.903,0.907,0.911,0.918,0.923
158,1.725,1.725,1.636,1.547,1.324,1.101,0.947,0.896,0.879,0.873,0.861,0.861,0.864,0.867,0.873,0.880,0.886,0.891,0.900,0.907
160,1.741,1.741,1.649,1.558,1.329,1.099,0.937,0.880,0.863,0.858,0.845,0.845,0.848,0.852,0.860,0.867,0.874,0.879,0.890,0.898
162,1.515,1.515,1.452,1.389,1.230,1.072,0.914,0.862,0.846,0.840,0.827,0.826,0.830,0.835,0.844,0.852,0.860,0.867,0.878,0.887
164,1.382,1.382,1.331,1.280,1.153,1.025,0.898,0.843,0.826,0.820,0.806,0.805,0.810,0.815,0.825,0.835,0.844,0.852,0.866,0.876
166,1.961,1.961,1.845,1.729,1.439,1.150,0.860,0.819,0.804,0.797,0.781,0.781,0.786,0.792,0.804,0.816,0.826,0.835,0.851,0.863
168,1.036,1.036,1.016,0.996,0.946,0.895,0.845,0.794,0.779,0.770,0.753,0.754,0.760,0.767,0.782,0.794,0.806,0.816,0.835,0.849
170,0.894,0.894,0.884,0.874,0.850,0.825,0.801,0.776,0.752,0.741,0.721,0.722,0.729,0.737,0.754,0.769,0.783,0.796,0.817,0.834
172,0.880,0.880,0.870,0.860,0.835,0.810,0.786,0.761,0.736,0.711,0.686,0.686,0.695,0.705,0.725,0.742,0.758,0.772,0.796,0.815
174,0.626,0.626,0.627,0.627,0.628,0.629,0.630,0.631,0.632,0.633,0.641,0.646,0.656,0.669,0.692,0.711,0.730,0.747,0.774,0.797
176,0.575,0.575,0.575,0.576,0.577,0.579,0.580,0.582,0.583,0.585,0.595,0.602,0.616,0.630,0.658,0.678,0.699,0.718,0.749,0.773
